Verb,Translation,ConjSingular,ConjPlural,Pattern,Notes
croître,расти,"<span class=""pronoun"">je</span> {{c1::croîs}}<br><span class=""pronoun"">tu</span> {{c1::croîs}}<br><span class=""pronoun"">il/elle</span> {{c1::croît}}","<span class=""pronoun"">nous</span> {{c2::croissons}}<br><span class=""pronoun"">vous</span> {{c2::croissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::croissent}}",unique,Accent pour éviter confusion avec croire!
revendre,перепродавать,"<span class=""pronoun"">je</span> {{c1::revends}}<br><span class=""pronoun"">tu</span> {{c1::revends}}<br><span class=""pronoun"">il/elle</span> {{c1::revend}}","<span class=""pronoun"">nous</span> {{c2::revendons}}<br><span class=""pronoun"">vous</span> {{c2::revendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::revendent}}",-endre régulier,Comme vendre.
rasseoir,rasseoir,"<span class=""pronoun"">je</span> {{c1::me rassieds}}<br><span class=""pronoun"">tu</span> {{c1::te rassieds}}<br><span class=""pronoun"">il/elle</span> {{c1::se rassied}}","<span class=""pronoun"">nous</span> {{c2::nous rasseyons}}<br><span class=""pronoun"">vous</span> {{c2::vous rasseyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se rasseyent}}",très irrégulier,Comme asseoir.
reparaître,появляться снова,"<span class=""pronoun"">je</span> {{c1::reparais}}<br><span class=""pronoun"">tu</span> {{c1::reparais}}<br><span class=""pronoun"">il/elle</span> {{c1::reparaît}}","<span class=""pronoun"">nous</span> {{c2::reparaissons}}<br><span class=""pronoun"">vous</span> {{c2::reparaissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::reparaissent}}",-aître,Comme paraître.
déduire,вычитать,"<span class=""pronoun"">je</span> {{c1::déduis}}<br><span class=""pronoun"">tu</span> {{c1::déduis}}<br><span class=""pronoun"">il/elle</span> {{c1::déduit}}","<span class=""pronoun"">nous</span> {{c2::déduisons}}<br><span class=""pronoun"">vous</span> {{c2::déduisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::déduisent}}",-uire,Comme conduire.
accroître,увеличивать,"<span class=""pronoun"">j'</span>{{c1::accrois}}<br><span class=""pronoun"">tu</span> {{c1::accrois}}<br><span class=""pronoun"">il/elle</span> {{c1::accroît}}","<span class=""pronoun"">nous</span> {{c2::accroissons}}<br><span class=""pronoun"">vous</span> {{c2::accroissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::accroissent}}",unique,Comme croître. S'accroître.
rendormir,усыплять снова,"<span class=""pronoun"">je</span> {{c1::rendors}}<br><span class=""pronoun"">tu</span> {{c1::rendors}}<br><span class=""pronoun"">il/elle</span> {{c1::rendort}}","<span class=""pronoun"">nous</span> {{c2::rendormons}}<br><span class=""pronoun"">vous</span> {{c2::rendormez}}<br><span class=""pronoun"">ils/elles</span> {{c2::rendorment}}",-mir,Comme dormir. Se rendormir.
reconduire,сопровождать,"<span class=""pronoun"">je</span> {{c1::reconduis}}<br><span class=""pronoun"">tu</span> {{c1::reconduis}}<br><span class=""pronoun"">il/elle</span> {{c1::reconduit}}","<span class=""pronoun"">nous</span> {{c2::reconduisons}}<br><span class=""pronoun"">vous</span> {{c2::reconduisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::reconduisent}}",-uire,Comme conduire.
rebondir,отскакивать,"<span class=""pronoun"">je</span> {{c1::rebondis}}<br><span class=""pronoun"">tu</span> {{c1::rebondis}}<br><span class=""pronoun"">il/elle</span> {{c1::rebondit}}","<span class=""pronoun"">nous</span> {{c2::rebondissons}}<br><span class=""pronoun"">vous</span> {{c2::rebondissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::rebondissent}}",2e groupe -ir/-iss-,Attention: 2e groupe (-iss-)!
mouvoir,двигать,"<span class=""pronoun"">je</span> {{c1::meus}}<br><span class=""pronoun"">tu</span> {{c1::meus}}<br><span class=""pronoun"">il/elle</span> {{c1::meut}}","<span class=""pronoun"">nous</span> {{c2::mouvons}}<br><span class=""pronoun"">vous</span> {{c2::mouvez}}<br><span class=""pronoun"">ils/elles</span> {{c2::meuvent}}",-ouvoir,2 radicaux. Se mouvoir = se déplacer.
requérir,требовать,"<span class=""pronoun"">je</span> {{c1::requiers}}<br><span class=""pronoun"">tu</span> {{c1::requiers}}<br><span class=""pronoun"">il/elle</span> {{c1::requiert}}","<span class=""pronoun"">nous</span> {{c2::requérons}}<br><span class=""pronoun"">vous</span> {{c2::requérez}}<br><span class=""pronoun"">ils/elles</span> {{c2::requièrent}}",-érir,Comme acquérir.
inclure,включать,"<span class=""pronoun"">j'</span>{{c1::inclus}}<br><span class=""pronoun"">tu</span> {{c1::inclus}}<br><span class=""pronoun"">il/elle</span> {{c1::inclut}}","<span class=""pronoun"">nous</span> {{c2::incluons}}<br><span class=""pronoun"">vous</span> {{c2::incluez}}<br><span class=""pronoun"">ils/elles</span> {{c2::incluent}}",-clure,Comme conclure. Participe: inclus (pas *inclu).
tressaillir,вздрагивать,"<span class=""pronoun"">je</span> {{c1::tressaille}}<br><span class=""pronoun"">tu</span> {{c1::tressailles}}<br><span class=""pronoun"">il/elle</span> {{c1::tressaille}}","<span class=""pronoun"">nous</span> {{c2::tressaillons}}<br><span class=""pronoun"">vous</span> {{c2::tressaillez}}<br><span class=""pronoun"">ils/elles</span> {{c2::tressaillent}}",-illir (comme -er),Comme cueillir.
abstenir,воздерживаться,"<span class=""pronoun"">je</span> {{c1::m'abstiens}}<br><span class=""pronoun"">tu</span> {{c1::t'abstiens}}<br><span class=""pronoun"">il/elle</span> {{c1::s'abstient}}","<span class=""pronoun"">nous</span> {{c2::nous abstenons}}<br><span class=""pronoun"">vous</span> {{c2::vous abstenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::s'abstiennent}}",-enir,Comme tenir. Toujours réfléchi: s'abstenir de.
pondre,нести яйца,"<span class=""pronoun"">je</span> {{c1::ponds}}<br><span class=""pronoun"">tu</span> {{c1::ponds}}<br><span class=""pronoun"">il/elle</span> {{c1::pond}}","<span class=""pronoun"">nous</span> {{c2::pondons}}<br><span class=""pronoun"">vous</span> {{c2::pondez}}<br><span class=""pronoun"">ils/elles</span> {{c2::pondent}}",-ondre,La poule pond des œufs.
assaillir,атаковать,"<span class=""pronoun"">j'</span>{{c1::assaille}}<br><span class=""pronoun"">tu</span> {{c1::assailles}}<br><span class=""pronoun"">il/elle</span> {{c1::assaille}}","<span class=""pronoun"">nous</span> {{c2::assaillons}}<br><span class=""pronoun"">vous</span> {{c2::assaillez}}<br><span class=""pronoun"">ils/elles</span> {{c2::assaillent}}",-illir (comme -er),Comme cueillir.
frire,жарить,"<span class=""pronoun"">je</span> {{c1::fris}}<br><span class=""pronoun"">tu</span> {{c1::fris}}<br><span class=""pronoun"">il/elle</span> {{c1::frit}}","<span class=""pronoun"">nous</span> {{c2::—}}<br><span class=""pronoun"">vous</span> {{c2::—}}<br><span class=""pronoun"">ils/elles</span> {{c2::—}}",défectif,Seulement singulier! Utiliser faire frire.
repeindre,перекрашивать,"<span class=""pronoun"">je</span> {{c1::repeins}}<br><span class=""pronoun"">tu</span> {{c1::repeins}}<br><span class=""pronoun"">il/elle</span> {{c1::repeint}}","<span class=""pronoun"">nous</span> {{c2::repeignons}}<br><span class=""pronoun"">vous</span> {{c2::repeignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::repeignent}}",-eindre,Comme peindre.
secourir,спасать,"<span class=""pronoun"">je</span> {{c1::secours}}<br><span class=""pronoun"">tu</span> {{c1::secours}}<br><span class=""pronoun"">il/elle</span> {{c1::secourt}}","<span class=""pronoun"">nous</span> {{c2::secourons}}<br><span class=""pronoun"">vous</span> {{c2::secourez}}<br><span class=""pronoun"">ils/elles</span> {{c2::secourent}}",-ourir,Comme courir.
poindre,пробиваться,"<span class=""pronoun"">il</span> {{c1::point}}",—,défectif,Surtout: le jour point (рассветает).
tapir,прятаться,"<span class=""pronoun"">je</span> {{c1::me tapis}}<br><span class=""pronoun"">tu</span> {{c1::te tapis}}<br><span class=""pronoun"">il/elle</span> {{c1::se tapit}}","<span class=""pronoun"">nous</span> {{c2::nous tapissons}}<br><span class=""pronoun"">vous</span> {{c2::vous tapissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se tapissent}}",2e groupe -ir/-iss-,Réfléchi: se tapir.
méprendre,ошибаться,"<span class=""pronoun"">je</span> {{c1::me méprends}}<br><span class=""pronoun"">tu</span> {{c1::te méprends}}<br><span class=""pronoun"">il/elle</span> {{c1::se méprend}}","<span class=""pronoun"">nous</span> {{c2::nous méprenons}}<br><span class=""pronoun"">vous</span> {{c2::vous méprenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se méprennent}}",-endre,Comme prendre. Réfléchi: se méprendre sur.
choir,падать,"<span class=""pronoun"">je</span> {{c1::chois}}<br><span class=""pronoun"">tu</span> {{c1::chois}}<br><span class=""pronoun"">il/elle</span> {{c1::choit}}","<span class=""pronoun"">nous</span> {{c2::—}}<br><span class=""pronoun"">vous</span> {{c2::—}}<br><span class=""pronoun"">ils/elles</span> {{c2::—}}",défectif,Littéraire. Surtout: laisser choir = abandonner.
recoudre,зашивать,"<span class=""pronoun"">je</span> {{c1::recouds}}<br><span class=""pronoun"">tu</span> {{c1::recouds}}<br><span class=""pronoun"">il/elle</span> {{c1::recoud}}","<span class=""pronoun"">nous</span> {{c2::recousons}}<br><span class=""pronoun"">vous</span> {{c2::recousez}}<br><span class=""pronoun"">ils/elles</span> {{c2::recousent}}",-oudre,Comme coudre.
ouïr,слышать,"<span class=""pronoun"">j'</span>{{c1::ois}}<br><span class=""pronoun"">tu</span> {{c1::ois}}<br><span class=""pronoun"">il/elle</span> {{c1::oit}}","<span class=""pronoun"">nous</span> {{c2::oyons}}<br><span class=""pronoun"">vous</span> {{c2::oyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::oient}}",archaïque,Archaïque! J'ai ouï dire que...
promouvoir,продвигать,"<span class=""pronoun"">je</span> {{c1::promeus}}<br><span class=""pronoun"">tu</span> {{c1::promeus}}<br><span class=""pronoun"">il/elle</span> {{c1::promeut}}","<span class=""pronoun"">nous</span> {{c2::promouvons}}<br><span class=""pronoun"">vous</span> {{c2::promouvez}}<br><span class=""pronoun"">ils/elles</span> {{c2::promeuvent}}",-ouvoir,Comme mouvoir.
enfreindre,нарушать,"<span class=""pronoun"">j'</span>{{c1::enfreins}}<br><span class=""pronoun"">tu</span> {{c1::enfreins}}<br><span class=""pronoun"">il/elle</span> {{c1::enfreint}}","<span class=""pronoun"">nous</span> {{c2::enfreignons}}<br><span class=""pronoun"">vous</span> {{c2::enfreignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::enfreignent}}",-eindre,gn au pluriel. Enfreindre la loi.
corrompre,развращать,"<span class=""pronoun"">je</span> {{c1::corromps}}<br><span class=""pronoun"">tu</span> {{c1::corromps}}<br><span class=""pronoun"">il/elle</span> {{c1::corrompt}}","<span class=""pronoun"">nous</span> {{c2::corrompons}}<br><span class=""pronoun"">vous</span> {{c2::corrompez}}<br><span class=""pronoun"">ils/elles</span> {{c2::corrompent}}",-ompre,Comme rompre.
soustraire,вычитать,"<span class=""pronoun"">je</span> {{c1::soustrais}}<br><span class=""pronoun"">tu</span> {{c1::soustrais}}<br><span class=""pronoun"">il/elle</span> {{c1::soustrait}}","<span class=""pronoun"">nous</span> {{c2::soustrayons}}<br><span class=""pronoun"">vous</span> {{c2::soustrayez}}<br><span class=""pronoun"">ils/elles</span> {{c2::soustraient}}",-aire (y au plur),Comme distraire. Se soustraire à.
démentir,опровергать,"<span class=""pronoun"">je</span> {{c1::démens}}<br><span class=""pronoun"">tu</span> {{c1::démens}}<br><span class=""pronoun"">il/elle</span> {{c1::dément}}","<span class=""pronoun"">nous</span> {{c2::démentons}}<br><span class=""pronoun"">vous</span> {{c2::démentez}}<br><span class=""pronoun"">ils/elles</span> {{c2::démentent}}",-tir,Comme mentir.
omettre,пропускать,"<span class=""pronoun"">j'</span>{{c1::omets}}<br><span class=""pronoun"">tu</span> {{c1::omets}}<br><span class=""pronoun"">il/elle</span> {{c1::omet}}","<span class=""pronoun"">nous</span> {{c2::omettons}}<br><span class=""pronoun"">vous</span> {{c2::omettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::omettent}}",-ettre,Comme mettre.
éprendre,влюбляться,"<span class=""pronoun"">je</span> {{c1::m'éprends}}<br><span class=""pronoun"">tu</span> {{c1::t'éprends}}<br><span class=""pronoun"">il/elle</span> {{c1::s'éprend}}","<span class=""pronoun"">nous</span> {{c2::nous éprenons}}<br><span class=""pronoun"">vous</span> {{c2::vous éprenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::s'éprennent}}",-endre,Comme prendre. Réfléchi: s'éprendre de.
enquérir,осведомляться,"<span class=""pronoun"">je</span> {{c1::m'enquiers}}<br><span class=""pronoun"">tu</span> {{c1::t'enquiers}}<br><span class=""pronoun"">il/elle</span> {{c1::s'enquiert}}","<span class=""pronoun"">nous</span> {{c2::nous enquérons}}<br><span class=""pronoun"">vous</span> {{c2::vous enquérez}}<br><span class=""pronoun"">ils/elles</span> {{c2::s'enquièrent}}",-érir,Comme acquérir. Réfléchi: s'enquérir de.
traire,доить,"<span class=""pronoun"">je</span> {{c1::trais}}<br><span class=""pronoun"">tu</span> {{c1::trais}}<br><span class=""pronoun"">il/elle</span> {{c1::trait}}","<span class=""pronoun"">nous</span> {{c2::trayons}}<br><span class=""pronoun"">vous</span> {{c2::trayez}}<br><span class=""pronoun"">ils/elles</span> {{c2::traient}}",-aire (y au plur),Comme distraire. Traire les vaches.
teindre,красить (волосы),"<span class=""pronoun"">je</span> {{c1::teins}}<br><span class=""pronoun"">tu</span> {{c1::teins}}<br><span class=""pronoun"">il/elle</span> {{c1::teint}}","<span class=""pronoun"">nous</span> {{c2::teignons}}<br><span class=""pronoun"">vous</span> {{c2::teignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::teignent}}",-eindre,gn au pluriel. Se teindre les cheveux.
enduire,покрывать,"<span class=""pronoun"">j'</span>{{c1::enduis}}<br><span class=""pronoun"">tu</span> {{c1::enduis}}<br><span class=""pronoun"">il/elle</span> {{c1::enduit}}","<span class=""pronoun"">nous</span> {{c2::enduisons}}<br><span class=""pronoun"">vous</span> {{c2::enduisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::enduisent}}",-uire,Comme conduire. Enduire de crème.
tondre,стричь,"<span class=""pronoun"">je</span> {{c1::tonds}}<br><span class=""pronoun"">tu</span> {{c1::tonds}}<br><span class=""pronoun"">il/elle</span> {{c1::tond}}","<span class=""pronoun"">nous</span> {{c2::tondons}}<br><span class=""pronoun"">vous</span> {{c2::tondez}}<br><span class=""pronoun"">ils/elles</span> {{c2::tondent}}",-ondre,Tondre le gazon.
paître,пастись,"<span class=""pronoun"">je</span> {{c1::pais}}<br><span class=""pronoun"">tu</span> {{c1::pais}}<br><span class=""pronoun"">il/elle</span> {{c1::paît}}","<span class=""pronoun"">nous</span> {{c2::paissons}}<br><span class=""pronoun"">vous</span> {{c2::paissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::paissent}}",défectif,Pas de passé simple. Les vaches paissent.
dévêtir,раздевать,"<span class=""pronoun"">je</span> {{c1::dévêts}}<br><span class=""pronoun"">tu</span> {{c1::dévêts}}<br><span class=""pronoun"">il/elle</span> {{c1::dévêt}}","<span class=""pronoun"">nous</span> {{c2::dévêtons}}<br><span class=""pronoun"">vous</span> {{c2::dévêtez}}<br><span class=""pronoun"">ils/elles</span> {{c2::dévêtent}}",défectif,Comme vêtir. Se dévêtir.
absoudre,отпускать грехи,"<span class=""pronoun"">j'</span>{{c1::absous}}<br><span class=""pronoun"">tu</span> {{c1::absous}}<br><span class=""pronoun"">il/elle</span> {{c1::absout}}","<span class=""pronoun"">nous</span> {{c2::absolvons}}<br><span class=""pronoun"">vous</span> {{c2::absolvez}}<br><span class=""pronoun"">ils/elles</span> {{c2::absolvent}}",-oudre,Comme résoudre.
recourir,прибегать,"<span class=""pronoun"">je</span> {{c1::recours}}<br><span class=""pronoun"">tu</span> {{c1::recours}}<br><span class=""pronoun"">il/elle</span> {{c1::recourt}}","<span class=""pronoun"">nous</span> {{c2::recourons}}<br><span class=""pronoun"">vous</span> {{c2::recourez}}<br><span class=""pronoun"">ils/elles</span> {{c2::recourent}}",-ourir,Comme courir. Recourir à qqn.
dépeindre,описывать,"<span class=""pronoun"">je</span> {{c1::dépeins}}<br><span class=""pronoun"">tu</span> {{c1::dépeins}}<br><span class=""pronoun"">il/elle</span> {{c1::dépeint}}","<span class=""pronoun"">nous</span> {{c2::dépeignons}}<br><span class=""pronoun"">vous</span> {{c2::dépeignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::dépeignent}}",-eindre,Comme peindre.
défaillir,слабеть,"<span class=""pronoun"">je</span> {{c1::défaille}}<br><span class=""pronoun"">tu</span> {{c1::défailles}}<br><span class=""pronoun"">il/elle</span> {{c1::défaille}}","<span class=""pronoun"">nous</span> {{c2::défaillons}}<br><span class=""pronoun"">vous</span> {{c2::défaillez}}<br><span class=""pronoun"">ils/elles</span> {{c2::défaillent}}",-illir (comme -er),Comme cueillir. Défaillir de fatigue.
décroître,убывать,"<span class=""pronoun"">je</span> {{c1::décrois}}<br><span class=""pronoun"">tu</span> {{c1::décrois}}<br><span class=""pronoun"">il/elle</span> {{c1::décroît}}","<span class=""pronoun"">nous</span> {{c2::décroissons}}<br><span class=""pronoun"">vous</span> {{c2::décroissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::décroissent}}",unique,Comme croître.
ensuivre,следовать,"<span class=""pronoun"">il</span> {{c1::s'ensuit}}","<span class=""pronoun"">ils</span> {{c2::s'ensuivent}}",défectif,Surtout 3e personne: il s'ensuit que...
comparaître,являться (в суд),"<span class=""pronoun"">je</span> {{c1::comparais}}<br><span class=""pronoun"">tu</span> {{c1::comparais}}<br><span class=""pronoun"">il/elle</span> {{c1::comparaît}}","<span class=""pronoun"">nous</span> {{c2::comparaissons}}<br><span class=""pronoun"">vous</span> {{c2::comparaissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::comparaissent}}",-aître,Comme paraître.
équivaloir,равняться,"<span class=""pronoun"">j'</span>{{c1::équivaux}}<br><span class=""pronoun"">tu</span> {{c1::équivaux}}<br><span class=""pronoun"">il/elle</span> {{c1::équivaut}}","<span class=""pronoun"">nous</span> {{c2::équivalons}}<br><span class=""pronoun"">vous</span> {{c2::équivalez}}<br><span class=""pronoun"">ils/elles</span> {{c2::équivalent}}",-aloir,Comme valoir. Équivaloir à.
desservir,убирать со стола,"<span class=""pronoun"">je</span> {{c1::dessers}}<br><span class=""pronoun"">tu</span> {{c1::dessers}}<br><span class=""pronoun"">il/elle</span> {{c1::dessert}}","<span class=""pronoun"">nous</span> {{c2::desservons}}<br><span class=""pronoun"">vous</span> {{c2::desservez}}<br><span class=""pronoun"">ils/elles</span> {{c2::desservent}}",-vir,Comme servir.
geindre,стонать,"<span class=""pronoun"">je</span> {{c1::geins}}<br><span class=""pronoun"">tu</span> {{c1::geins}}<br><span class=""pronoun"">il/elle</span> {{c1::geint}}","<span class=""pronoun"">nous</span> {{c2::geignons}}<br><span class=""pronoun"">vous</span> {{c2::geignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::geignent}}",-eindre,gn au pluriel.
abasourdir,ошеломлять,"<span class=""pronoun"">j'</span>{{c1::abasourdis}}<br><span class=""pronoun"">tu</span> {{c1::abasourdis}}<br><span class=""pronoun"">il/elle</span> {{c1::abasourdit}}","<span class=""pronoun"">nous</span> {{c2::abasourdissons}}<br><span class=""pronoun"">vous</span> {{c2::abasourdissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::abasourdissent}}",2e groupe -ir/-iss-,Attention: 2e groupe (-iss-)!
abstraire,абстрагировать,"<span class=""pronoun"">j'</span>{{c1::abstrais}}<br><span class=""pronoun"">tu</span> {{c1::abstrais}}<br><span class=""pronoun"">il/elle</span> {{c1::abstrait}}","<span class=""pronoun"">nous</span> {{c2::abstrayons}}<br><span class=""pronoun"">vous</span> {{c2::abstrayez}}<br><span class=""pronoun"">ils/elles</span> {{c2::abstraient}}",-aire (y au plur),Comme distraire. S'abstraire.
adjoindre,присоединять,"<span class=""pronoun"">j'</span>{{c1::adjoins}}<br><span class=""pronoun"">tu</span> {{c1::adjoins}}<br><span class=""pronoun"">il/elle</span> {{c1::adjoint}}","<span class=""pronoun"">nous</span> {{c2::adjoignons}}<br><span class=""pronoun"">vous</span> {{c2::adjoignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::adjoignent}}",-oindre,Comme joindre.
aigrir,ожесточать,"<span class=""pronoun"">j'</span>{{c1::aigris}}<br><span class=""pronoun"">tu</span> {{c1::aigris}}<br><span class=""pronoun"">il/elle</span> {{c1::aigrit}}","<span class=""pronoun"">nous</span> {{c2::aigrissons}}<br><span class=""pronoun"">vous</span> {{c2::aigrissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::aigrissent}}",2e groupe -ir/-iss-,S'aigrir.
amoindrir,уменьшать,"<span class=""pronoun"">j'</span>{{c1::amoindris}}<br><span class=""pronoun"">tu</span> {{c1::amoindris}}<br><span class=""pronoun"">il/elle</span> {{c1::amoindrit}}","<span class=""pronoun"">nous</span> {{c2::amoindrissons}}<br><span class=""pronoun"">vous</span> {{c2::amoindrissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::amoindrissent}}",2e groupe -ir/-iss-,S'amoindrir.
appauvrir,обеднять,"<span class=""pronoun"">j'</span>{{c1::appauvris}}<br><span class=""pronoun"">tu</span> {{c1::appauvris}}<br><span class=""pronoun"">il/elle</span> {{c1::appauvrit}}","<span class=""pronoun"">nous</span> {{c2::appauvrissons}}<br><span class=""pronoun"">vous</span> {{c2::appauvrissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::appauvrissent}}",2e groupe -ir/-iss-,S'appauvrir.
assainir,оздоровлять,"<span class=""pronoun"">j'</span>{{c1::assainis}}<br><span class=""pronoun"">tu</span> {{c1::assainis}}<br><span class=""pronoun"">il/elle</span> {{c1::assainit}}","<span class=""pronoun"">nous</span> {{c2::assainissons}}<br><span class=""pronoun"">vous</span> {{c2::assainissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::assainissent}}",2e groupe -ir/-iss-,Assainir l'économie.
assouplir,смягчать,"<span class=""pronoun"">j'</span>{{c1::assouplis}}<br><span class=""pronoun"">tu</span> {{c1::assouplis}}<br><span class=""pronoun"">il/elle</span> {{c1::assouplit}}","<span class=""pronoun"">nous</span> {{c2::assouplissons}}<br><span class=""pronoun"">vous</span> {{c2::assouplissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::assouplissent}}",2e groupe -ir/-iss-,S'assouplir.
astreindre,обязывать,"<span class=""pronoun"">j'</span>{{c1::astreins}}<br><span class=""pronoun"">tu</span> {{c1::astreins}}<br><span class=""pronoun"">il/elle</span> {{c1::astreint}}","<span class=""pronoun"">nous</span> {{c2::astreignons}}<br><span class=""pronoun"">vous</span> {{c2::astreignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::astreignent}}",-eindre,Comme craindre. S'astreindre à.
avachir,делать дряблым,"<span class=""pronoun"">j'</span>{{c1::avachis}}<br><span class=""pronoun"">tu</span> {{c1::avachis}}<br><span class=""pronoun"">il/elle</span> {{c1::avachit}}","<span class=""pronoun"">nous</span> {{c2::avachissons}}<br><span class=""pronoun"">vous</span> {{c2::avachissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::avachissent}}",2e groupe -ir/-iss-,S'avachir.
bleuir,синеть,"<span class=""pronoun"">je</span> {{c1::bleuis}}<br><span class=""pronoun"">tu</span> {{c1::bleuis}}<br><span class=""pronoun"">il/elle</span> {{c1::bleuit}}","<span class=""pronoun"">nous</span> {{c2::bleuissons}}<br><span class=""pronoun"">vous</span> {{c2::bleuissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::bleuissent}}",2e groupe -ir/-iss-,Bleuir de froid.
blondir,светлеть,"<span class=""pronoun"">je</span> {{c1::blondis}}<br><span class=""pronoun"">tu</span> {{c1::blondis}}<br><span class=""pronoun"">il/elle</span> {{c1::blondit}}","<span class=""pronoun"">nous</span> {{c2::blondissons}}<br><span class=""pronoun"">vous</span> {{c2::blondissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::blondissent}}",2e groupe -ir/-iss-,Faire blondir les oignons.
bruire,шуметь,"<span class=""pronoun"">il</span> {{c1::bruit}}","<span class=""pronoun"">ils</span> {{c2::bruissent}}",défectif,Surtout 3e personne. Le vent bruit.
brunir,загорать,"<span class=""pronoun"">je</span> {{c1::brunis}}<br><span class=""pronoun"">tu</span> {{c1::brunis}}<br><span class=""pronoun"">il/elle</span> {{c1::brunit}}","<span class=""pronoun"">nous</span> {{c2::brunissons}}<br><span class=""pronoun"">vous</span> {{c2::brunissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::brunissent}}",2e groupe -ir/-iss-,Brunir au soleil.
ceindre,опоясывать,"<span class=""pronoun"">je</span> {{c1::ceins}}<br><span class=""pronoun"">tu</span> {{c1::ceins}}<br><span class=""pronoun"">il/elle</span> {{c1::ceint}}","<span class=""pronoun"">nous</span> {{c2::ceignons}}<br><span class=""pronoun"">vous</span> {{c2::ceignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::ceignent}}",-eindre,Littéraire. Ceindre une couronne.
circoncire,обрезать,"<span class=""pronoun"">je</span> {{c1::circoncis}}<br><span class=""pronoun"">tu</span> {{c1::circoncis}}<br><span class=""pronoun"">il/elle</span> {{c1::circoncit}}","<span class=""pronoun"">nous</span> {{c2::circoncisons}}<br><span class=""pronoun"">vous</span> {{c2::circoncisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::circoncisent}}",-ire,Terme médical/religieux.
complaire,угождать,"<span class=""pronoun"">je</span> {{c1::complais}}<br><span class=""pronoun"">tu</span> {{c1::complais}}<br><span class=""pronoun"">il/elle</span> {{c1::complaît}}","<span class=""pronoun"">nous</span> {{c2::complaisons}}<br><span class=""pronoun"">vous</span> {{c2::complaisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::complaisent}}",-aire,Comme plaire. Se complaire dans.
concourir,способствовать,"<span class=""pronoun"">je</span> {{c1::concours}}<br><span class=""pronoun"">tu</span> {{c1::concours}}<br><span class=""pronoun"">il/elle</span> {{c1::concourt}}","<span class=""pronoun"">nous</span> {{c2::concourons}}<br><span class=""pronoun"">vous</span> {{c2::concourez}}<br><span class=""pronoun"">ils/elles</span> {{c2::concourent}}",-ourir,Comme courir. Concourir à.
contrefoutre,наплевать,"<span class=""pronoun"">je</span> {{c1::m'en contrefous}}<br><span class=""pronoun"">tu</span> {{c1::t'en contrefous}}<br><span class=""pronoun"">il/elle</span> {{c1::s'en contrefout}}","<span class=""pronoun"">nous</span> {{c2::nous en contrefoutons}}<br><span class=""pronoun"">vous</span> {{c2::vous en contrefoutez}}<br><span class=""pronoun"">ils/elles</span> {{c2::s'en contrefoutent}}",-outre,Très familier! Comme foutre.
discourir,рассуждать,"<span class=""pronoun"">je</span> {{c1::discours}}<br><span class=""pronoun"">tu</span> {{c1::discours}}<br><span class=""pronoun"">il/elle</span> {{c1::discourt}}","<span class=""pronoun"">nous</span> {{c2::discourons}}<br><span class=""pronoun"">vous</span> {{c2::discourez}}<br><span class=""pronoun"">ils/elles</span> {{c2::discourent}}",-ourir,Comme courir. Discourir sur.
