French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji,Source
un procureur; une procureure,прокурор,m,Le <b>procureur</b> a présenté les preuves.,<b>Прокурор</b> представил доказательства.,Aussi: avocat représentant. Juridique.,⚖️,quebecismes
un prusse,ель (акадийск.),m,Les <b>prusses</b> sont couverts de neige.,<b>Ели</b> покрыты снегом.,Acadien. France: épicéa. Conifère.,🌲,quebecismes
précurseure,предшественница,adj,Elle fut <b>précurseure</b> dans ce domaine.,Она была <b>предшественницей</b> в этой области.,Féminin de précurseur. Pionnière.,🚀,quebecismes
présentement,сейчас,adv,Je suis <b>présentement</b> occupé.,Я <b>сейчас</b> занят.,France: actuellement / en ce moment. Très courant!,⏰,quebecismes
un publiciel,бесплатное ПО,m,Ce <b>publiciel</b> est gratuit pour tous.,Это <b>бесплатное ПО</b> для всех.,Informatique. France: freeware / logiciel libre.,💻,quebecismes
un quahog,моллюск,m,On a ramassé des <b>quahogs</b> sur la plage.,Мы собрали <b>моллюсков</b> на пляже.,Clam. Fruits de mer.,🐚,quebecismes
québéciser,квебекизировать,v,Il faut <b>québéciser</b> le contenu pour le marché local.,Нужно <b>адаптировать</b> контент для местного рынка.,Adapter au Québec. Groupe 1 (-er).,🍁,quebecismes
un raccompagnateur; une raccompagnatrice,провожающий,m,Le <b>raccompagnateur</b> la ramène chez elle.,<b>Провожающий</b> отвозит её домой.,Personne qui reconduit quelqu'un. Sécurité.,🚗,quebecismes
un raccompagnement,сопровождение,m,Le service de <b>raccompagnement</b> est gratuit.,Услуга <b>сопровождения</b> бесплатная.,Action de reconduire. Bars / événements.,🏠,quebecismes
un radioroman,радиосериал,m,Ma grand-mère écoutait des <b>radioromans</b>.,Моя бабушка слушала <b>радиосериалы</b>.,Feuilleton radiophonique. Historique.,📻,quebecismes
rafaler,дуть порывами,v,Le vent <b>rafale</b> depuis ce matin.,Ветер <b>дует порывами</b> с утра.,Météo. Souffler en rafales. Groupe 1 (-er).,💨,quebecismes
ramancher,чинить,v,Il a <b>ramanché</b> la clôture.,Он <b>починил</b> забор.,Familier. France: rafistoler. Groupe 1 (-er).,🔧,quebecismes
ratoureur; ratoureuse,хитрец,adj,Ce <b>ratoureur</b> m'a bien eu !,Этот <b>хитрец</b> меня провёл!,Familier. Rusé / malin. Péjoratif.,🦊,quebecismes
recevant; recevante,гостеприимный,adj,Mes voisins sont très <b>recevants</b>.,Мои соседи очень <b>гостеприимные</b>.,France: accueillant / hospitalier.,🏠,quebecismes
une relish,релиш,f,Mets de la <b>relish</b> sur ton hotdog.,Положи <b>релиш</b> на хот-дог.,Condiment. De l'anglais. Anglicisme.,🌭,quebecismes
renoter,повторять одно и то же,v,Il <b>renote</b> toujours la même histoire.,Он <b>повторяет</b> одну и ту же историю.,Familier. France: rabâcher. Groupe 1 (-er).,🔁,quebecismes
repentignois; repentignoise,из Репентиньи,adj,Le festival <b>repentignois</b> a lieu en août.,<b>Репентиньийский</b> фестиваль проходит в августе.,De Repentigny. Banlieue de Montréal.,📍,quebecismes
rescaper,спасать,v,Les pompiers ont <b>rescapé</b> les victimes.,Пожарные <b>спасли</b> пострадавших.,Sauver d'un danger. Groupe 1 (-er).,🚒,quebecismes
rimouskois; rimouskoise,из Римуски,adj,L'économie <b>rimouskoise</b> repose sur la mer.,Экономика <b>Римуски</b> основана на море.,De Rimouski. Bas-Saint-Laurent.,📍,quebecismes
une ringuette,рингет,f,Ma fille joue à la <b>ringuette</b>.,Моя дочь играет в <b>рингет</b>.,Sport féminin sur glace. Inventé au Canada.,🏒,quebecismes
une roquille,рюмка (мера),f,Une <b>roquille</b> de cognac.,<b>Рюмка</b> коньяка.,Ancienne mesure. Petite quantité.,🥃,quebecismes
rousseler,покрываться веснушками,v,Elle <b>rousselle</b> au soleil.,Она <b>покрывается веснушками</b> на солнце.,Familier. Groupe 1 (-er).,☀️,quebecismes
rousselé; rousselée,веснушчатый,adj,Son visage <b>rousselé</b> est adorable.,Её <b>веснушчатое</b> лицо очаровательно.,Parsemé de taches de rousseur.,👧,quebecismes
rouynorandien; rouynorandienne,из Руэн-Норанда,adj,L'industrie <b>rouynorandienne</b> est minière.,Промышленность <b>Руэн-Норанда</b> горнодобывающая.,De Rouyn-Noranda. Abitibi-Témiscamingue.,⛏️,quebecismes
un rye,ржаной виски,m,Je prends un <b>rye</b> on the rocks.,Я возьму <b>ржаной виски</b> со льдом.,Whisky canadien. De l'anglais.,🥃,quebecismes
une réviseure,редакторша,f,La <b>réviseure</b> a corrigé le manuscrit.,<b>Редакторша</b> исправила рукопись.,Féminin de réviseur. Édition.,📝,quebecismes
sacrant; sacrante,раздражающий,adj,C'est <b>sacrant</b> d'attendre si longtemps !,<b>Раздражает</b> ждать так долго!,Familier. De sacrer. Contrariant.,😤,quebecismes
saguenayen; sagueNayenne,из Сагенея,adj,Les bleuets <b>saguenayens</b> sont réputés.,<b>Сагенейская</b> черника славится.,De Saguenay. Aussi: saguenéen.,📍,quebecismes
un sapinage,хвойные ветки,m,On décore avec du <b>sapinage</b> à Noël.,На Рождество украшаем <b>хвойными ветками</b>.,Branches de conifère. Décoration.,🎄,quebecismes
une savane,болото,f,On s'est enfoncé dans la <b>savane</b>.,Мы увязли в <b>болоте</b>.,Au Québec: terrain bas et humide. Pas la savane africaine!,🌿,quebecismes
septilien; septilienne,из Сет-Иль,adj,Le port <b>septilien</b> est important pour le minerai.,Порт <b>Сет-Иль</b> важен для руды.,De Sept-Îles. Côte-Nord.,📍,quebecismes
shawiniganais; shawiniganaise,из Шавинигана,adj,L'héritage <b>shawiniganais</b> est industriel.,<b>Шавиниганское</b> наследие промышленное.,De Shawinigan. Mauricie.,📍,quebecismes
siler,свистеть,v,Le vent <b>sile</b> dans les branches.,Ветер <b>свистит</b> в ветвях.,Produire un son aigu. Groupe 1 (-er).,🌬️,quebecismes
une sloche,слякоть,f,Il y a de la <b>sloche</b> sur les trottoirs.,На тротуарах <b>слякоть</b>.,Aussi: slush. Neige fondante. Très courant!,🌧️,quebecismes
un snoreau,озорник,m,Ce petit <b>snoreau</b> fait des bêtises.,Этот маленький <b>озорник</b> проказничает.,Enfant espiègle. Familier.,😈,quebecismes
sorelois; soreloise,из Сорель-Трейси,adj,L'industrie <b>soreloise</b> est métallurgique.,Промышленность <b>Сорель-Трейси</b> металлургическая.,De Sorel-Tracy. Montérégie.,📍,quebecismes
une souffleuse,снегоочиститель,f,La <b>souffleuse</b> déblaye l'entrée.,<b>Снегоочиститель</b> расчищает въезд.,Chasse-neige qui projette la neige. Essentiel au Québec!,❄️,quebecismes
une souque,перетягивание каната,f,On a joué à la <b>souque</b> à la corde.,Мы играли в <b>перетягивание каната</b>.,Jeu d'équipe. Fêtes populaires.,🪢,quebecismes
soutenant; soutenante,сытный,adj,Ce repas est <b>soutenant</b>.,Эта еда <b>сытная</b>.,France: nourrissant / rassasiant.,🍲,quebecismes
un soya,соя,m,Je bois du lait de <b>soya</b>.,Я пью <b>соевое</b> молоко.,France: soja. Orthographe québécoise.,🫘,quebecismes
un soûlon; une soûlonne,пьяница,m,Ce <b>soûlon</b> traîne au bar.,Этот <b>пьяница</b> болтается в баре.,Familier. France: ivrogne / alcoolique.,🍺,quebecismes
subler,свистеть (акадийск.),v,Il <b>suble</b> en travaillant.,Он <b>насвистывает</b> за работой.,Acadien. France: siffler. Groupe 1 (-er).,🎵,quebecismes
un subpoena,повестка в суд,m,Il a reçu un <b>subpoena</b> pour témoigner.,Он получил <b>повестку</b> для дачи показаний.,Terme juridique. Du latin. France: assignation.,⚖️,quebecismes
un surtemps,сверхурочные,m,Je fais du <b>surtemps</b> cette semaine.,Я работаю <b>сверхурочно</b> на этой неделе.,France: heures supplémentaires. Travail.,⏰,quebecismes
un syntonisateur,тюнер,m,Le <b>syntonisateur</b> capte les stations radio.,<b>Тюнер</b> ловит радиостанции.,France: tuner. Électronique.,📻,quebecismes
un tabagiste; une tabagiste,табачник,m,Le <b>tabagiste</b> vend des cigarettes.,<b>Табачник</b> продаёт сигареты.,France: buraliste. Commerce.,🚬,quebecismes
tabletter,откладывать в долгий ящик,v,Le projet a été <b>tabletté</b>.,Проект <b>отложили в долгий ящик</b>.,Familier. Enterrer un dossier. Groupe 1 (-er).,📁,quebecismes
un tapissage,оклейка обоями,m,Le <b>tapissage</b> de la chambre est fini.,<b>Оклейка</b> комнаты обоями закончена.,France: pose du papier peint. Décoration.,🏠,quebecismes
une tartinade,намазка,f,Cette <b>tartinade</b> aux herbes est délicieuse.,Эта <b>намазка</b> с травами вкусная.,France: préparation à tartiner. Alimentation.,🥖,quebecismes
un taxage,вымогательство,m,Le <b>taxage</b> est un problème dans les écoles.,<b>Вымогательство</b> — проблема в школах.,Action d'extorquer. Racket scolaire.,💰,quebecismes
un terrazzo,терраццо,m,Le sol est en <b>terrazzo</b>.,Пол из <b>терраццо</b>.,Revêtement de sol. De l'italien. Construction.,🏗️,quebecismes
terrebonnien; terrebonnienne,из Террбона,adj,La communauté <b>terrebonnienne</b> est dynamique.,<b>Террбонская</b> община динамичная.,De Terrebonne. Lanaudière.,📍,quebecismes
un tet,хлев,m,Les brebis sont dans le <b>tet</b>.,Овцы в <b>хлеву</b>.,Tet à brebis = bergerie. Agricole.,🐑,quebecismes
texter,писать СМС,v,<b>Texte</b>-moi quand tu arrives.,<b>Напиши мне СМС</b> когда приедешь.,Aussi: textoter. De l'anglais. Groupe 1 (-er).,📱,quebecismes
thetfordois; thetfordoise,из Тетфорд-Майнс,adj,L'histoire <b>thetfordoise</b> est liée à l'amiante.,История <b>Тетфорд-Майнс</b> связана с асбестом.,De Thetford-Mines. Chaudière-Appalaches.,📍,quebecismes
tiger,давать побеги,v,Les plantes <b>tigent</b> au printemps.,Растения <b>дают побеги</b> весной.,Produire des tiges. Jardinage. Groupe 1 (-er).,🌱,quebecismes
tiguidou,отлично!,interj,— Ça marche ? — <b>Tiguidou</b> !,— Получается? — <b>Отлично</b>!,Très québécois! Familier. Tout est parfait.,👍,quebecismes
toler,обшивать жестью,v,On va <b>toler</b> le toit de la grange.,Мы <b>обошьём жестью</b> крышу сарая.,Recouvrir de tôles. Construction. Groupe 1 (-er).,🔨,quebecismes
trapper,ставить капканы,v,Il <b>trappe</b> des castors pour la fourrure.,Он <b>ставит капканы</b> на бобров ради меха.,Chasse traditionnelle. De l'anglais trap. Groupe 1 (-er).,🪤,quebecismes
travaillant; travaillante,работяга,adj,C'est un homme <b>travaillant</b>.,Это <b>работяга</b>.,Substantif ou adjectif. France: travailleur / ouvrier.,👷,quebecismes
trifluvien; trifluvienne,из Труа-Ривьер,adj,Le patrimoine <b>trifluvien</b> est riche.,<b>Труа-ривьерское</b> наследие богато.,De Trois-Rivières. Mauricie.,📍,quebecismes
tripant; tripante,крутой,adj,Ce concert était <b>tripant</b> !,Этот концерт был <b>крутой</b>!,Familier. Aussi: trippant. France: génial / excitant.,🎸,quebecismes
un troupier; une troupière,игрок команды,m,C'est un bon <b>troupier</b> sur la glace.,Он хороший <b>командный игрок</b> на льду.,Sports d'équipe. Membre d'une équipe.,🏒,quebecismes
un turluteur; une turluteuse,напевающий,m,La <b>turluteuse</b> anime la soirée folklorique.,<b>Напевающая</b> оживляет фольклорный вечер.,Qui pratique la turlutte (chant).,🎵,quebecismes
un téléjournal,теленовости,m,On regarde le <b>téléjournal</b> à 18 h.,Мы смотрим <b>теленовости</b> в 18:00.,France: journal télévisé / JT. Très courant!,📺,quebecismes
un téléroman,телесериал,m,Elle regarde son <b>téléroman</b> préféré.,Она смотрит свой любимый <b>телесериал</b>.,France: feuilleton / série télé. Très courant!,📺,quebecismes
une téléuniversité,дистанционный университет,f,J'étudie à la <b>Téléuniversité</b>.,Я учусь в <b>дистанционном университете</b>.,TÉLUQ. Enseignement à distance. Unique au Québec.,🎓,quebecismes
témiscabitibien; témiscabitibienne,из Абитиби-Темискаминг,adj,Les forêts <b>témiscabitibiennes</b> sont immenses.,<b>Абитиби-темискамингские</b> леса огромны.,De l'Abitibi-Témiscamingue. Nord-Ouest du Québec.,🌲,quebecismes
unifamilial; unifamiliale,односемейный (о доме),adj,On cherche une maison <b>unifamiliale</b>.,Мы ищем <b>односемейный</b> дом.,Habitation pour une seule famille. Immobilier.,🏠,quebecismes
vacher,бездельничать,v,Arrête de <b>vacher</b> et aide-moi !,Хватит <b>бездельничать</b> — помоги мне!,Familier. France: paresser. Groupe 1 (-er).,😴,quebecismes
vainqueure,победительница,adj,Elle est <b>vainqueure</b> du tournoi.,Она <b>победительница</b> турнира.,Féminin de vainqueur. Sports.,🏆,quebecismes
valdorien; valdorienne,из Валь-д'Ор,adj,L'économie <b>valdorienne</b> est minière.,Экономика <b>Валь-д'Ора</b> горнодобывающая.,De Val-d'Or. Abitibi-Témiscamingue.,⛏️,quebecismes
à la valdrague,заброшенный (акадийск.),loc,La maison est <b>à la valdrague</b>.,Дом <b>заброшен</b>.,Acadien. À l'abandon.,🏚️,quebecismes
se vaser,заиливаться,v,Le lac s'est <b>vasé</b> avec le temps.,Озеро <b>заилилось</b> со временем.,Se couvrir de vase. Groupe 1 (-er).,🌊,quebecismes
versant; versante,неустойчивый,adj,Ce canot est <b>versant</b>.,Это каноэ <b>неустойчивое</b>.,Qui chavire facilement. Maritime.,🛶,quebecismes
victoriavillois; victoriavilloise,из Викториавиля,adj,Le festival <b>victoriavillois</b> de musique est populaire.,<b>Викториавильский</b> музыкальный фестиваль популярен.,De Victoriaville. Centre-du-Québec.,📍,quebecismes
un virailleur; une virailleuse,бездельник,m,Ce <b>virailleur</b> perd son temps au bureau.,Этот <b>бездельник</b> теряет время в офице.,Personne qui perd son temps au travail.,😴,quebecismes
un visionnement,просмотр,m,Le <b>visionnement</b> du film commence à 20 h.,<b>Просмотр</b> фильма начинается в 20:00.,France: visionnage. Cinéma.,🎬,quebecismes
du visou,меткость,m,Il a du <b>visou</b> aux fléchettes.,У него <b>меткость</b> в дартсе.,Avoir du visou = être adroit. Familier.,🎯,quebecismes
un voyagement,езда туда-сюда,m,Tous ces <b>voyagements</b> me fatiguent.,Вся эта <b>езда туда-сюда</b> утомляет.,Aussi: voyageage. Allées et venues.,🚗,quebecismes
une webcaméra,веб-камера,f,Allume ta <b>webcaméra</b> pour la réunion.,Включи <b>веб-камеру</b> для совещания.,France: webcam. Informatique.,📷,quebecismes
woh,хватит!,interj,<b>Woh</b> arrête ça tout de suite !,"<b>Хватит</b>, прекрати это сейчас же!",Familier. C'est assez / stop. De l'anglais whoa.,✋,quebecismes
zirable,отвратительный (акадийск.),adj,Cette sauce est <b>zirable</b>.,Этот соус <b>отвратительный</b>.,Acadien. France: dégoûtant.,🤢,quebecismes
faire zire,отвращать (акадийск.),loc,Ça me fait <b>zire</b>.,Меня от этого <b>воротит</b>.,Acadien. Dégoûter. Expression.,🤮,quebecismes
un zucchini,цукини,m,J'ai fait sauter des <b>zucchinis</b>.,Я обжарил <b>цукини</b>.,France: courgette. De l'italien/anglais.,🥒,quebecismes
une échouerie,лежбище,f,Les phoques se reposent sur l'<b>échouerie</b>.,Тюлени отдыхают на <b>лежбище</b>.,Rivage où se rassemblent phoques et otaries.,🦭,quebecismes
un écocentre,пункт приёма отходов,m,Apporte les déchets à l'<b>écocentre</b>.,Отвези отходы в <b>пункт приёма</b>.,Centre de dépôt pour recyclage. Environnement.,♻️,quebecismes
une écoeuranterie,мерзость,f,Ce qu'il a dit est une <b>écoeuranterie</b>.,То что он сказал — <b>мерзость</b>.,Parole ou action répugnante. Familier.,🤮,quebecismes
une éloise,молния (акадийск.),f,L'<b>éloise</b> a illuminé le ciel.,<b>Молния</b> осветила небо.,Acadien. France: éclair. Météo.,⚡,quebecismes
une épluchette,вечеринка (с кукурузой),f,On organise une <b>épluchette</b> de blé d'Inde.,Мы устраиваем <b>вечеринку с кукурузой</b>.,Tradition québécoise! Épluchage collectif de maïs.,🌽,quebecismes
un évaluateur; une évaluatrice,оценщик,m,L'<b>évaluateur</b> a estimé la maison.,<b>Оценщик</b> оценил дом.,Personne qui évalue un bien. Immobilier.,🏠,quebecismes
