French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
une gaine,футляр,Une <b>gaine</b> de couteau.,<b>Ножны</b>.,🗡️,f
vraisemblable,правдоподобный,Une histoire <b>vraisemblable</b>.,<b>Правдоподобная</b> история.,🤔,adj
"courbé, courbée",согнутый,Un dos <b>courbé</b>.,<b>Согнутая</b> спина.,🙇,adj
une pétition,петиция,Signer une <b>pétition</b>.,Подписать <b>петицию</b>.,📝,f
un strip-tease,стриптиз,Un spectacle de <b>strip-tease</b>.,<b>Стриптиз</b>-шоу.,💃,m
"sinueux, sinueuse",извилистый,Une route <b>sinueuse</b>.,<b>Извилистая</b> дорога.,🛤️,adj
équivaloir,равняться,Cela <b>équivaut</b> à un refus.,Это <b>равносильно</b> отказу.,⚖️,v
"peureux, peureuse",трусливый,Un enfant <b>peureux</b>.,<b>Трусливый</b> ребёнок.,😰,adj
cabrer,вставать на дыбы,Le cheval se <b>cabre</b>.,Лошадь <b>встаёт на дыбы</b>.,🐴,v
colorier,раскрашивать,<b>Colorier</b> un dessin.,<b>Раскрашивать</b> рисунок.,🖍️,v
un loufiat,официант (устар.),Le <b>loufiat</b> du bistrot.,<b>Официант</b> бистро.,🍷,m
une écrevisse,рак,Pêcher des <b>écrevisses</b>.,Ловить <b>раков</b>.,🦞,f
champêtre,сельский,Un paysage <b>champêtre</b>.,<b>Сельский</b> пейзаж.,🌾,adj
"pavé, pavée",мощёный,Une rue <b>pavée</b>.,<b>Мощёная</b> улица.,🧱,adj
un décalage,сдвиг,Un <b>décalage</b> horaire.,Часовой <b>сдвиг</b>.,🕐,m
une frousse,трусость,Avoir la <b>frousse</b>.,Испытывать <b>страх</b>.,😨,f
un collectionneur,коллекционер,Un <b>collectionneur</b> d'art.,<b>Коллекционер</b> искусства.,🖼️,m
un sérum,сыворотка,Un <b>sérum</b> sanguin.,Кровяная <b>сыворотка</b>.,💉,m
une harpe,арфа,Jouer de la <b>harpe</b>.,Играть на <b>арфе</b>.,🎵,f
une infamie,бесчестье,Quelle <b>infamie</b> !,Какое <b>бесчестье</b>!,😤,f
une inventrice,изобретательница,L'<b>inventrice</b> de ce procédé.,<b>Изобретательница</b> этого способа.,💡,f
jongler,жонглировать,<b>Jongler</b> avec des balles.,<b>Жонглировать</b> мячами.,🤹,v
un compère,кум,Un <b>compère</b> de toujours.,Давний <b>кум</b>.,🤝,m
"confirmé, confirmée",подтверждённый,Une information <b>confirmée</b>.,<b>Подтверждённая</b> информация.,✅,adj
un inventeur,изобретатель,Un <b>inventeur</b> génial.,Гениальный <b>изобретатель</b>.,💡,m
cannibale,каннибал,Une tribu de <b>cannibales</b>.,Племя <b>каннибалов</b>.,😱,m/f
dérouter,сбивать с толку,<b>Dérouter</b> l'ennemi.,<b>Сбить с толку</b> врага.,🤔,v
instituer,учреждать,<b>Instituer</b> une fête.,<b>Учредить</b> праздник.,📅,v
saturer,насыщать,<b>Saturer</b> le marché.,<b>Насытить</b> рынок.,📈,v
un yuan,юань,Payer en <b>yuans</b>.,Платить <b>юанями</b>.,💴,m
une bastille,бастилия,La prise de la <b>Bastille</b>.,Взятие <b>Бастилии</b>.,🏰,f
violoniste,скрипач,Un <b>violoniste</b> virtuose.,<b>Скрипач</b>-виртуоз.,🎻,m/f
"destructeur, destructrice",разрушительный,Une force <b>destructrice</b>.,<b>Разрушительная</b> сила.,💥,adj
une carafe,графин,Une <b>carafe</b> d'eau.,<b>Графин</b> воды.,🫗,f
une jubilation,ликование,Avec <b>jubilation</b>.,С <b>ликованием</b>.,🎉,f
une rotation,вращение,Une <b>rotation</b> complète.,Полное <b>вращение</b>.,🔄,f
un guérisseur,знахарь,Un <b>guérisseur</b> traditionnel.,Традиционный <b>знахарь</b>.,🧙,m
un malfrat,бандит,Un <b>malfrat</b> dangereux.,Опасный <b>бандит</b>.,😈,m
"angoissé, angoissée",встревоженный,Un regard <b>angoissé</b>.,<b>Встревоженный</b> взгляд.,😟,adj
dégoter,раздобыть,<b>Dégoter</b> un appartement.,<b>Раздобыть</b> квартиру.,🏠,v
un harcèlement,домогательство,Le <b>harcèlement</b> moral.,Моральное <b>домогательство</b>.,⚠️,m
un satyre,сатир,Un vieux <b>satyre</b>.,Старый <b>сатир</b>.,🧓,m
une illumination,озарение,Une soudaine <b>illumination</b>.,Внезапное <b>озарение</b>.,💡,f
un écriteau,табличка,Lire l'<b>écriteau</b>.,Прочитать <b>табличку</b>.,📋,m
"naissant, naissante",зарождающийся,Un amour <b>naissant</b>.,<b>Зарождающаяся</b> любовь.,💕,adj
"préoccupé, préoccupée",озабоченный,Un air <b>préoccupé</b>.,<b>Озабоченный</b> вид.,🤔,adj
"flamboyant, flamboyante",пылающий,Un coucher de soleil <b>flamboyant</b>.,<b>Пылающий</b> закат.,🌅,adj
héler,окликать,<b>Héler</b> un taxi.,<b>Окликнуть</b> такси.,🚕,v
"retroussé, retroussée",вздёрнутый,Un nez <b>retroussé</b>.,<b>Вздёрнутый</b> нос.,👃,adj
un chevalet,мольберт,Peindre sur un <b>chevalet</b>.,Писать на <b>мольберте</b>.,🎨,m
une faction,караул,Être de <b>faction</b>.,Быть в <b>карауле</b>.,💂,f
un bosquet,роща,Un petit <b>bosquet</b>.,Небольшая <b>роща</b>.,🌳,m
une acquisition,приобретение,Une nouvelle <b>acquisition</b>.,Новое <b>приобретение</b>.,🛒,f
un khan,хан,Le <b>khan</b> des Mongols.,<b>Хан</b> монголов.,👑,m
écosser,лущить,<b>Écosser</b> des petits pois.,<b>Лущить</b> горох.,🫛,v
"garni, garnie",гарнированный,Un plat <b>garni</b>.,<b>Гарнированное</b> блюдо.,🍽️,adj
un panorama,панорама,Un <b>panorama</b> magnifique.,Великолепная <b>панорама</b>.,🏞️,m
"angoissant, angoissante",тревожный,Une situation <b>angoissante</b>.,<b>Тревожная</b> ситуация.,😰,adj
un algérien,алжирец,Un <b>Algérien</b> de Paris.,<b>Алжирец</b> из Парижа.,🇩🇿,m
un gonze,тип (арго),Un drôle de <b>gonze</b>.,Странный <b>тип</b>.,🤷,m
un lierre,плющ,Du <b>lierre</b> sur le mur.,<b>Плющ</b> на стене.,🌿,m
un lys,лилия,Un <b>lys</b> blanc.,Белая <b>лилия</b>.,🌸,m
un tragique,трагик,Un grand <b>tragique</b>.,Великий <b>трагик</b>.,🎭,m
"aimant, aimante",любящий,Une mère <b>aimante</b>.,<b>Любящая</b> мать.,❤️,adj
"inédit, inédite",неизданный,Un roman <b>inédit</b>.,<b>Неизданный</b> роман.,📚,adj
"puni, punie",наказанный,Un enfant <b>puni</b>.,<b>Наказанный</b> ребёнок.,😔,adj
un chérif,шериф,Le <b>chérif</b> du comté.,<b>Шериф</b> округа.,⭐,m
un cidre,сидр,Un verre de <b>cidre</b>.,Стакан <b>сидра</b>.,🍎,m
une oseille,щавель,Une soupe à l'<b>oseille</b>.,Щавелевый <b>суп</b>.,🥣,f
une quinte,приступ,Une <b>quinte</b> de toux.,<b>Приступ</b> кашля.,🤧,f
irremplaçable,незаменимый,Un ami <b>irremplaçable</b>.,<b>Незаменимый</b> друг.,💎,adj
irréparable,непоправимый,Un dommage <b>irréparable</b>.,<b>Непоправимый</b> ущерб.,😔,adj
un aga,ага,L'<b>aga</b> ottoman.,Османский <b>ага</b>.,👳,m
un psaume,псалом,Chanter un <b>psaume</b>.,Петь <b>псалом</b>.,🎵,m
une enjambée,шаг,D'une grande <b>enjambée</b>.,Широким <b>шагом</b>.,🚶,f
une palette,палитра,La <b>palette</b> du peintre.,<b>Палитра</b> художника.,🎨,f
accoster,причаливать,<b>Accoster</b> au port.,<b>Причалить</b> к порту.,⚓,v
impensable,немыслимый,C'est <b>impensable</b> !,Это <b>немыслимо</b>!,😱,adj
force,много,<b>Force</b> détails.,<b>Много</b> деталей.,📚,adj
"rôti, rôtie",жареный,Un poulet <b>rôti</b>.,<b>Жареная</b> курица.,🍗,adj
un paravent,ширма,Se cacher derrière un <b>paravent</b>.,Прятаться за <b>ширмой</b>.,🪟,m
un épouvantail,пугало,Un <b>épouvantail</b> dans le champ.,<b>Пугало</b> на поле.,🎃,m
une exclusivité,эксклюзив,En <b>exclusivité</b>.,<b>Эксклюзивно</b>.,⭐,f
une ogive,боеголовка,Une <b>ogive</b> nucléaire.,Ядерная <b>боеголовка</b>.,☢️,f
un rétablissement,выздоровление,Un prompt <b>rétablissement</b>.,Скорейшего <b>выздоровления</b>.,💊,m
désintéresser,делать равнодушным,Se <b>désintéresser</b> de la politique.,<b>Потерять интерес</b> к политике.,🤷,v
"développé, développée",развитый,Un pays <b>développé</b>.,<b>Развитая</b> страна.,🌍,adj
indiscutable,бесспорный,Un fait <b>indiscutable</b>.,<b>Бесспорный</b> факт.,✅,adj
un tribord,правый борт,Tourner à <b>tribord</b>.,Повернуть на <b>правый борт</b>.,🚢,m
rehausser,повышать,<b>Rehausser</b> le prestige.,<b>Повысить</b> престиж.,📈,v
un charpentier,плотник,Le <b>charpentier</b> construit.,<b>Плотник</b> строит.,🪓,m
un demi-frère,сводный брат,Mon <b>demi-frère</b>.,Мой <b>сводный брат</b>.,👨‍👦,m
un nourrisson,грудничок,Un <b>nourrisson</b> de trois mois.,Трёхмесячный <b>грудничок</b>.,👶,m
une casbah,касба,La <b>casbah</b> d'Alger.,<b>Касба</b> Алжира.,🏛️,f
recoller,склеивать,<b>Recoller</b> les morceaux.,<b>Склеить</b> кусочки.,🔧,v
un gringo,гринго,Un <b>gringo</b> au Mexique.,<b>Гринго</b> в Мексике.,🤠,m
"chevelu, chevelue",волосатый,Un homme <b>chevelu</b>.,<b>Волосатый</b> мужчина.,💇,adj
"dédaigneux, dédaigneuse",презрительный,Un regard <b>dédaigneux</b>.,<b>Презрительный</b> взгляд.,😒,adj
détromper,разубеждать,<b>Détromper</b> quelqu'un.,<b>Разубедить</b> кого-то.,💡,v
rejouer,переиграть,<b>Rejouer</b> la scène.,<b>Переиграть</b> сцену.,🎬,v
"saccadé, saccadée",прерывистый,Un mouvement <b>saccadé</b>.,<b>Прерывистое</b> движение.,🤖,adj
un bourrelet,валик,Un <b>bourrelet</b> de graisse.,<b>Складка</b> жира.,🍩,m
un vrac,навалом,En <b>vrac</b>.,<b>Навалом</b>.,📦,m
pudique,стыдливый,Un geste <b>pudique</b>.,<b>Стыдливый</b> жест.,😊,adj
un décorateur,декоратор,Un <b>décorateur</b> d'intérieur.,Интерьерный <b>декоратор</b>.,🎨,m
une admission,допуск,L'<b>admission</b> à l'université.,<b>Допуск</b> в университет.,🎓,f
une perpétuité,пожизненное,Condamné à <b>perpétuité</b>.,Осуждённый <b>пожизненно</b>.,⛓️,f
un avant-poste,аванпост,Un <b>avant-poste</b> militaire.,Военный <b>аванпост</b>.,🏰,m
une encolure,вырез,Une large <b>encolure</b>.,Широкий <b>вырез</b>.,👗,f
un vicomte,виконт,Le <b>vicomte</b> de Valmont.,<b>Виконт</b> де Вальмон.,👑,m
une rhubarbe,ревень,Une tarte à la <b>rhubarbe</b>.,Пирог с <b>ревенем</b>.,🥧,f
adepte,приверженец,Un <b>adepte</b> du yoga.,<b>Приверженец</b> йоги.,🧘,m/f
"digital, digitale",цифровой,L'ère <b>digitale</b>.,<b>Цифровая</b> эпоха.,📱,adj
enfanter,рождать,<b>Enfanter</b> dans la douleur.,<b>Рождать</b> в муках.,👶,v
"juteux, juteuse",сочный,Une poire <b>juteuse</b>.,<b>Сочная</b> груша.,🍐,adj
un sanatorium,санаторий,Se soigner au <b>sanatorium</b>.,Лечиться в <b>санатории</b>.,🏥,m
un soufflet,мех,Le <b>soufflet</b> de la forge.,<b>Мехи</b> кузницы.,🔥,m
une housse,чехол,Une <b>housse</b> de couette.,<b>Чехол</b> на одеяло.,🛏️,f
un lutz,лутц,Un <b>lutz</b> triple.,Тройной <b>лутц</b>.,⛸️,m
"diffus, diffuse",рассеянный,Une lumière <b>diffuse</b>.,<b>Рассеянный</b> свет.,💡,adj
prétexter,ссылаться на,<b>Prétexter</b> une maladie.,<b>Сослаться</b> на болезнь.,🤒,v
"tranché, tranchée",контрастный,Des couleurs <b>tranchées</b>.,<b>Контрастные</b> цвета.,🎨,adj
un escabeau,стремянка,Monter sur l'<b>escabeau</b>.,Взобраться на <b>стремянку</b>.,🪜,m
un leurre,приманка,Un <b>leurre</b> pour poissons.,<b>Приманка</b> для рыбы.,🎣,m
un neveux,племянники (мн.),Mes <b>neveux</b> sont venus.,Мои <b>племянники</b> пришли.,👦👦,m
agglutiner,слипаться,Les gens s'<b>agglutinent</b>.,Люди <b>слипаются</b> в толпу.,👥,v
"réputé, réputée",известный,Un restaurant <b>réputé</b>.,<b>Известный</b> ресторан.,⭐,adj
un crin,конский волос,Un matelas en <b>crin</b>.,Матрас из <b>конского волоса</b>.,🐴,m
une louche,черпак,Une <b>louche</b> à soupe.,Суповой <b>черпак</b>.,🥄,f
une croisée,оконная рама,Ouvrir la <b>croisée</b>.,Открыть <b>окно</b>.,🪟,f
"ébloui, éblouie",ослеплённый,<b>Ébloui</b> par le soleil.,<b>Ослеплённый</b> солнцем.,☀️,adj
un prétendant,претендент,Un <b>prétendant</b> au trône.,<b>Претендент</b> на трон.,👑,m
"appliqué, appliquée",прилежный,Un élève <b>appliqué</b>.,<b>Прилежный</b> ученик.,📚,adj
une clarinette,кларнет,Jouer de la <b>clarinette</b>.,Играть на <b>кларнете</b>.,🎵,f
une fougue,пыл,Avec <b>fougue</b>.,С <b>пылом</b>.,🔥,f
glander,бездельничать,<b>Glander</b> toute la journée.,<b>Бездельничать</b> весь день.,😴,v
un jardinet,садик,Un petit <b>jardinet</b>.,Маленький <b>садик</b>.,🌷,m
un layon,просека,Un <b>layon</b> forestier.,Лесная <b>просека</b>.,🌲,m
une diarrhée,диарея,Souffrir de <b>diarrhée</b>.,Страдать от <b>диареи</b>.,🤢,f
une exactitude,точность,Avec <b>exactitude</b>.,С <b>точностью</b>.,✅,f
une panoplie,набор,Une <b>panoplie</b> d'outils.,<b>Набор</b> инструментов.,🧰,f
sanguinaire,кровожадный,Un tyran <b>sanguinaire</b>.,<b>Кровожадный</b> тиран.,🩸,adj
obstruer,закупоривать,<b>Obstruer</b> un passage.,<b>Закупорить</b> проход.,🚧,v
un heurt,столкновение,Un léger <b>heurt</b>.,Лёгкое <b>столкновение</b>.,💥,m
une mémère,бабуля (разг.),Une vieille <b>mémère</b>.,Старенькая <b>бабуля</b>.,👵,f
desservir,обслуживать,<b>Desservir</b> une ville.,<b>Обслуживать</b> город.,🚃,v
un potin,сплетня,Raconter des <b>potins</b>.,Рассказывать <b>сплетни</b>.,🗣️,m
une bruyère,вереск,Un champ de <b>bruyère</b>.,Поле <b>вереска</b>.,🌸,f
un pastis,пастис,Boire un <b>pastis</b>.,Пить <b>пастис</b>.,🍸,m
triangulaire,треугольный,Une forme <b>triangulaire</b>.,<b>Треугольная</b> форма.,📐,adj
un buffle,буйвол,Un <b>buffle</b> d'eau.,Водяной <b>буйвол</b>.,🦬,m
jubiler,ликовать,<b>Jubiler</b> de joie.,<b>Ликовать</b> от радости.,🎉,v
"restant, restante",оставшийся,Le temps <b>restant</b>.,<b>Оставшееся</b> время.,⏳,adj
un piston,поршень,Le <b>piston</b> du moteur.,<b>Поршень</b> двигателя.,🔧,m
beugler,мычать,La vache <b>beugle</b>.,Корова <b>мычит</b>.,🐄,v
néfaste,пагубный,Une influence <b>néfaste</b>.,<b>Пагубное</b> влияние.,⚠️,adj
un caca,какашка,Faire <b>caca</b>.,Сделать <b>какашку</b>.,💩,m
une prouesse,подвиг,Une <b>prouesse</b> technique.,Технический <b>подвиг</b>.,🏆,f
"indigné, indignée",возмущённый,Un air <b>indigné</b>.,<b>Возмущённый</b> вид.,😤,adj
un fossoyeur,могильщик,Le <b>fossoyeur</b> du cimetière.,<b>Могильщик</b> на кладбище.,⚰️,m
un sauna,сауна,Aller au <b>sauna</b>.,Ходить в <b>сауну</b>.,🧖,m
une privation,лишение,Des <b>privations</b> de guerre.,Военные <b>лишения</b>.,😔,f
une tulipe,тюльпан,Un bouquet de <b>tulipes</b>.,Букет <b>тюльпанов</b>.,🌷,f
un canari,канарейка,Un <b>canari</b> jaune.,Жёлтая <b>канарейка</b>.,🐦,m
un chouchou,любимчик,Le <b>chouchou</b> de la prof.,<b>Любимчик</b> учительницы.,⭐,m
un gui,омела,Du <b>gui</b> de Noël.,Рождественская <b>омела</b>.,🎄,m
une crique,бухта,Une petite <b>crique</b>.,Маленькая <b>бухта</b>.,🏖️,f
une fossoyeuse,могильщица,La <b>fossoyeuse</b> creuse.,<b>Могильщица</b> копает.,⚰️,f
présentable,презентабельный,Être <b>présentable</b>.,Быть <b>презентабельным</b>.,👔,adj
valide,годный,Un billet <b>valide</b>.,<b>Годный</b> билет.,✅,adj
un empressement,рвение,Avec <b>empressement</b>.,С <b>рвением</b>.,🏃,m
malmener,грубо обращаться,<b>Malmener</b> quelqu'un.,<b>Грубо обращаться</b> с кем-то.,😤,v
nomade,кочевник,Un peuple <b>nomade</b>.,<b>Кочевой</b> народ.,🏕️,m/f
un accélérateur,акселератор,Appuyer sur l'<b>accélérateur</b>.,Нажать на <b>газ</b>.,🚗,m
une sape,подкоп,La <b>sape</b> des fondations.,<b>Подкоп</b> под фундамент.,⛏️,f
un taulier,хозяин (арго),Le <b>taulier</b> de l'hôtel.,<b>Хозяин</b> отеля.,🏨,m
une initiation,посвящение,Un rite d'<b>initiation</b>.,Обряд <b>посвящения</b>.,🎓,f
rapatrier,репатриировать,<b>Rapatrier</b> les réfugiés.,<b>Репатриировать</b> беженцев.,✈️,v
sanitaire,санитарный,Des conditions <b>sanitaires</b>.,<b>Санитарные</b> условия.,🏥,adj
"épanoui, épanouie",расцветший,Un visage <b>épanoui</b>.,<b>Расцветшее</b> лицо.,😊,adj
un orifice,отверстие,L'<b>orifice</b> d'un tube.,<b>Отверстие</b> трубки.,⭕,m
un sous-lieutenant,младший лейтенант,Un <b>sous-lieutenant</b> de l'armée.,<b>Младший лейтенант</b> армии.,🎖️,m
"défendu, défendue",запрещённый,Un fruit <b>défendu</b>.,<b>Запретный</b> плод.,🍎,adj
un électricien,электрик,Appeler l'<b>électricien</b>.,Позвать <b>электрика</b>.,🔌,m
une célébration,празднование,Une <b>célébration</b> nationale.,Национальное <b>празднование</b>.,🎉,f
une lamentation,причитание,Des <b>lamentations</b> funèbres.,Траурные <b>причитания</b>.,😢,f
une sous-lieutenante,младший лейтенант (ж.),La <b>sous-lieutenante</b> commande.,<b>Младший лейтенант</b> командует.,🎖️,f
une télécommande,пульт,La <b>télécommande</b> de la télé.,<b>Пульт</b> телевизора.,📺,f
"paralysé, paralysée",парализованный,Un homme <b>paralysé</b>.,<b>Парализованный</b> человек.,♿,adj
un boyard,боярин,Un <b>boyard</b> russe.,Русский <b>боярин</b>.,👑,m
une gondole,гондола,Une <b>gondole</b> à Venise.,<b>Гондола</b> в Венеции.,🛶,f
parano,параноидальный,Il est un peu <b>parano</b>.,Он немного <b>параноик</b>.,🧠,adj
cellulaire,клеточный,Le niveau <b>cellulaire</b>.,<b>Клеточный</b> уровень.,🔬,adj
"fauché, fauchée",на мели,Je suis <b>fauché</b>.,Я <b>на мели</b>.,💸,adj
"radin, radine",скупой,Il est <b>radin</b>.,Он <b>скупой</b>.,💰,adj
un irlandais,ирландец,Un <b>Irlandais</b> de Dublin.,<b>Ирландец</b> из Дублина.,🍀,m
une arrière-boutique,подсобка,Dans l'<b>arrière-boutique</b>.,В <b>подсобке</b>.,🏪,f
une entaille,зарубка,Une <b>entaille</b> dans le bois.,<b>Зарубка</b> на дереве.,🪓,f
un tracé,маршрут,Le <b>tracé</b> de la route.,<b>Маршрут</b> дороги.,🗺️,m
une rengaine,припев,Toujours la même <b>rengaine</b>.,Всё та же <b>песня</b>.,🎵,f
"éloquent, éloquente",красноречивый,Un orateur <b>éloquent</b>.,<b>Красноречивый</b> оратор.,🗣️,adj
"intensif, intensive",интенсивный,Un cours <b>intensif</b>.,<b>Интенсивный</b> курс.,📚,adj
une résine,смола,De la <b>résine</b> d'arbre.,Древесная <b>смола</b>.,🌲,f
réputer,считать,<b>Réputer</b> quelqu'un coupable.,<b>Считать</b> кого-то виновным.,⚖️,v
brusquer,торопить,Ne me <b>brusquez</b> pas !,Не <b>торопите</b> меня!,⏰,v
décerner,присуждать,<b>Décerner</b> un prix.,<b>Присудить</b> премию.,🏆,v
un aumônier,капеллан,L'<b>aumônier</b> de l'hôpital.,<b>Капеллан</b> больницы.,⛪,m
un organisateur,организатор,L'<b>organisateur</b> de l'événement.,<b>Организатор</b> мероприятия.,📋,m
une géométrie,геометрия,Étudier la <b>géométrie</b>.,Изучать <b>геометрию</b>.,📐,f
une anse,ручка (кувшина),L'<b>anse</b> du panier.,<b>Ручка</b> корзины.,🧺,f
"progressif, progressive",прогрессивный,Un impôt <b>progressif</b>.,<b>Прогрессивный</b> налог.,📈,adj
un coéquipier,товарищ по команде,Mon <b>coéquipier</b> au foot.,Мой <b>товарищ по команде</b>.,⚽,m
un semestre,семестр,Le premier <b>semestre</b>.,Первый <b>семестр</b>.,📚,m
une conversion,обращение,Une <b>conversion</b> religieuse.,Религиозное <b>обращение</b>.,🙏,f
patrouiller,патрулировать,<b>Patrouiller</b> dans les rues.,<b>Патрулировать</b> улицы.,🚔,v
un résidu,остаток,Un <b>résidu</b> chimique.,Химический <b>остаток</b>.,🧪,m
une rime,рифма,Une <b>rime</b> pauvre.,Бедная <b>рифма</b>.,📝,f
"ballant, ballante",болтающийся,Les bras <b>ballants</b>.,<b>Болтающиеся</b> руки.,🙋,adj
"grandissant, grandissante",растущий,Une inquiétude <b>grandissante</b>.,<b>Растущая</b> тревога.,📈,adj
une convoitise,алчность,Avec <b>convoitise</b>.,С <b>алчностью</b>.,👀,f
"venimeux, venimeuse",ядовитый,Un serpent <b>venimeux</b>.,<b>Ядовитая</b> змея.,🐍,adj
couillon,дурачок (груб.),Quel <b>couillon</b> !,Какой <b>дурачок</b>!,🤦,adj
un casse-croûte,перекус,Prendre un <b>casse-croûte</b>.,Сделать <b>перекус</b>.,🥪,m
un vomi,рвота,Nettoyer le <b>vomi</b>.,Убрать <b>рвоту</b>.,🤢,m
"vendu, vendue",продажный,Un homme <b>vendu</b>.,<b>Продажный</b> человек.,💰,adj
"prématuré, prématurée",преждевременный,Une mort <b>prématurée</b>.,<b>Преждевременная</b> смерть.,⏳,adj
une contenance,вместимость,La <b>contenance</b> du verre.,<b>Вместимость</b> стакана.,🥃,f
une philo,философия (разг.),Avoir cours de <b>philo</b>.,Иметь урок <b>философии</b>.,🤔,f
"rompu, rompue",измождённый,<b>Rompu</b> de fatigue.,<b>Измождённый</b> усталостью.,😫,adj
"tombal, tombale",надгробный,Une pierre <b>tombale</b>.,<b>Надгробная</b> плита.,⚰️,adj
un corniaud,дворняга,Un <b>corniaud</b> adorable.,Милая <b>дворняга</b>.,🐕,m
un désespéré,отчаявшийся,Un acte de <b>désespéré</b>.,Поступок <b>отчаявшегося</b>.,😔,m
un grillon,сверчок,Le chant du <b>grillon</b>.,Пение <b>сверчка</b>.,🦗,m
un émissaire,эмиссар,Un <b>émissaire</b> du roi.,<b>Эмиссар</b> короля.,👤,m
une amnésie,амнезия,Souffrir d'<b>amnésie</b>.,Страдать от <b>амнезии</b>.,🧠,f
ballotter,болтать,Le bateau <b>ballotte</b>.,Лодку <b>болтает</b>.,🚢,v
crédible,правдоподобный,Une histoire <b>crédible</b>.,<b>Правдоподобная</b> история.,✅,adj
une psychanalyse,психоанализ,Faire une <b>psychanalyse</b>.,Проходить <b>психоанализ</b>.,🛋️,f
"surhumain, surhumaine",сверхчеловеческий,Un effort <b>surhumain</b>.,<b>Сверхчеловеческое</b> усилие.,💪,adj
une galoche,калоша,Des <b>galoches</b> de pluie.,Дождевые <b>калоши</b>.,👢,f
mordiller,покусывать,<b>Mordiller</b> un crayon.,<b>Покусывать</b> карандаш.,✏️,v
un brésilien,бразилец,Un <b>Brésilien</b> de Rio.,<b>Бразилец</b> из Рио.,🇧🇷,m
un germe,зародыш,Un <b>germe</b> de blé.,<b>Зародыш</b> пшеницы.,🌱,m
une revendication,требование,Une <b>revendication</b> salariale.,<b>Требование</b> о зарплате.,📢,f
"médiéval, médiévale",средневековый,Un château <b>médiéval</b>.,<b>Средневековый</b> замок.,🏰,adj
un sniper,снайпер,Un <b>sniper</b> en position.,<b>Снайпер</b> на позиции.,🎯,m
théorique,теоретический,Un cours <b>théorique</b>.,<b>Теоретический</b> курс.,📚,adj
une cuirasse,кираса,Une <b>cuirasse</b> de chevalier.,Рыцарская <b>кираса</b>.,🛡️,f
une incarnation,воплощение,L'<b>incarnation</b> du mal.,<b>Воплощение</b> зла.,😈,f
"narquois, narquoise",насмешливый,Un sourire <b>narquois</b>.,<b>Насмешливая</b> улыбка.,😏,adj
un acacia,акация,Un <b>acacia</b> en fleurs.,Цветущая <b>акация</b>.,🌳,m
un spot,прожектор,Un <b>spot</b> lumineux.,Световой <b>прожектор</b>.,💡,m
négligeable,пренебрежимый,Un détail <b>négligeable</b>.,<b>Пренебрежимая</b> деталь.,🤷,adj
une particularité,особенность,Une <b>particularité</b> locale.,Местная <b>особенность</b>.,📍,f
"déchaîné, déchaînée",разбушевавшийся,Une mer <b>déchaînée</b>.,<b>Разбушевавшееся</b> море.,🌊,adj
"fripé, fripée",помятый,Une chemise <b>fripée</b>.,<b>Помятая</b> рубашка.,👔,adj
un excrément,экскременты,Des <b>excréments</b> d'animaux.,<b>Экскременты</b> животных.,💩,m
un justicier,мститель,Un <b>justicier</b> masqué.,Замаскированный <b>мститель</b>.,🦸,m
une amélioration,улучшение,Une <b>amélioration</b> notable.,Заметное <b>улучшение</b>.,📈,f
une fouine,куница,Une <b>fouine</b> dans le grenier.,<b>Куница</b> на чердаке.,🐾,f
une volute,завиток,Des <b>volutes</b> de fumée.,<b>Завитки</b> дыма.,💨,f
espacer,разделять промежутками,<b>Espacer</b> les visites.,<b>Разделять</b> визиты.,📅,v
glaner,собирать,<b>Glaner</b> des informations.,<b>Собирать</b> информацию.,📝,v
hygiénique,гигиенический,Du papier <b>hygiénique</b>.,<b>Туалетная</b> бумага.,🧻,adj
un acajou,красное дерево,Un meuble en <b>acajou</b>.,Мебель из <b>красного дерева</b>.,🪵,m
un gosier,глотка,Avoir le <b>gosier</b> sec.,Пересохшая <b>глотка</b>.,🗣️,m
une omoplate,лопатка,Une douleur à l'<b>omoplate</b>.,Боль в <b>лопатке</b>.,🦴,f
épauler,поддержать,<b>Épauler</b> un ami.,<b>Поддержать</b> друга.,🤝,v
épeler,произносить по буквам,<b>Épeler</b> son nom.,<b>Произнести по буквам</b> имя.,🔤,v
dégénérer,деградировать,La situation <b>dégénère</b>.,Ситуация <b>деградирует</b>.,📉,v
un rictus,оскал,Un <b>rictus</b> de douleur.,<b>Оскал</b> боли.,😬,m
une pouffiasse,шлюха (груб.),Une vraie <b>pouffiasse</b>.,Настоящая <b>шлюха</b>.,😤,f
une revenante,призрачница,La <b>revenante</b> apparaît.,<b>Призрачница</b> появляется.,👻,f
"averti, avertie",осведомлённый,Un public <b>averti</b>.,<b>Осведомлённая</b> публика.,📚,adj
baroque,барочный,Un style <b>baroque</b>.,<b>Барочный</b> стиль.,🏛️,adj
dixième,десятый,Le <b>dixième</b> étage.,<b>Десятый</b> этаж.,🔟,m/f
un revenant,призрак,Un <b>revenant</b> dans le château.,<b>Призрак</b> в замке.,👻,m
une introduction,введение,L'<b>introduction</b> d'un livre.,<b>Введение</b> книги.,📖,f
une photocopie,ксерокопия,Faire une <b>photocopie</b>.,Сделать <b>ксерокопию</b>.,📄,f
"troué, trouée",дырявый,Des chaussettes <b>trouées</b>.,<b>Дырявые</b> носки.,🧦,adj
